zip,temp-sun-6,condition-sun-6,temp-mon-9,condition-mon-9,temp-mon-12,condition-mon-12,temp-mon-3,condition-mon-3,temp-mon-6,condition-mon-6,temp-tues-9,condition-tues-9,temp-tues-12,condition-tues-12,temp-tues-3,condition-tues-3,temp-tues-6,condition-tues-6
32003,70,Mostly Cloudy,71,Mostly Cloudy,76,Mostly Cloudy,76,Overcast,71,Mostly Cloudy,67,Mostly Cloudy,75,Mostly Cloudy,75,Partly Cloudy,70,Clear
32004,71,Overcast,73,Mostly Cloudy,75,Mostly Cloudy,74,Overcast,71,Mostly Cloudy,72,Mostly Cloudy,73,Mostly Cloudy,72,Partly Cloudy,69,Partly Cloudy
32006,69,Mostly Cloudy,71,Mostly Cloudy,76,Mostly Cloudy,76,Overcast,71,Mostly Cloudy,67,Mostly Cloudy,75,Mostly Cloudy,75,Partly Cloudy,70,Clear
32007,71,Partly Cloudy,71,Mostly Cloudy,77,Mostly Cloudy,75,Mostly Cloudy,70,Overcast,68,Overcast,75,Mostly Cloudy,75,Mostly Cloudy,69,Partly Cloudy
32008,69,Mostly Cloudy,68,Partly Cloudy,77,Partly Cloudy,79,Mostly Cloudy,72,Mostly Cloudy,64,Partly Cloudy,75,Partly Cloudy,78,Partly Cloudy,72,Partly Cloudy
32009,67,Overcast,67,Mostly Cloudy,75,Mostly Cloudy,75,Mostly Cloudy,68,Mostly Cloudy,64,Partly Cloudy,74,Mostly Cloudy,75,Partly Cloudy,67,Partly Cloudy
32011,67,Mostly Cloudy,67,Partly Cloudy,75,Mostly Cloudy,74,Mostly Cloudy,67,Partly Cloudy,63,Partly Cloudy,74,Partly Cloudy,74,Partly Cloudy,66,Partly Cloudy
32013,71,Mostly Cloudy,66,Partly Cloudy,76,Partly Cloudy,79,Partly Cloudy,73,Mostly Cloudy,62,Partly Cloudy,74,Partly Cloudy,77,Partly Cloudy,71,Partly Cloudy
32024
32025,67,Overcast,66,Partly Cloudy,77,Partly Cloudy,78,Mostly Cloudy,70,Mostly Cloudy,63,Partly Cloudy,75,Partly Cloudy,77,Partly Cloudy,70,Partly Cloudy
32026,68,Mostly Cloudy,68,Mostly Cloudy,77,Mostly Cloudy,76,Overcast,70,Mostly Cloudy,65,Partly Cloudy,75,Mostly Cloudy,76,Mostly Cloudy,69,Partly Cloudy
32030,69,Overcast,70,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,70,Mostly Cloudy,67,Mostly Cloudy,75,Mostly Cloudy,75,Mostly Cloudy,69,Partly Cloudy
32033,73,Partly Cloudy,73,Overcast,77,Overcast,75,Overcast,71,Mostly Cloudy,71,Mostly Cloudy,75,Mostly Cloudy,74,Mostly Cloudy,69,Partly Cloudy
32034,69,Chance of Rain,73,Partly Cloudy,77,Mostly Cloudy,75,Mostly Cloudy,71,Partly Cloudy,71,Mostly Cloudy,74,Partly Cloudy,73,Partly Cloudy,69,Partly Cloudy
32035,69,Overcast,73,Partly Cloudy,77,Mostly Cloudy,75,Mostly Cloudy,71,Partly Cloudy,71,Mostly Cloudy,74,Partly Cloudy,73,Partly Cloudy,69,Partly Cloudy
32038,68,Mostly Cloudy,68,Partly Cloudy,78,Partly Cloudy,79,Mostly Cloudy,71,Overcast,65,Partly Cloudy,76,Partly Cloudy,78,Partly Cloudy,71,Partly Cloudy
32040,67,Mostly Cloudy,67,Mostly Cloudy,76,Mostly Cloudy,75,Mostly Cloudy,69,Partly Cloudy,64,Partly Cloudy,74,Mostly Cloudy,76,Mostly Cloudy,68,Partly Cloudy
32041,67,Overcast,71,Mostly Cloudy,75,Mostly Cloudy,74,Mostly Cloudy,68,Partly Cloudy,66,Partly Cloudy,74,Partly Cloudy,73,Partly Cloudy,66,Partly Cloudy
32042,69,Mostly Cloudy,69,Mostly Cloudy,77,Partly Cloudy,76,Mostly Cloudy,70,Mostly Cloudy,66,Mostly Cloudy,75,Mostly Cloudy,76,Mostly Cloudy,69,Partly Cloudy
32043,70,Mostly Cloudy,71,Mostly Cloudy,77,Mostly Cloudy,75,Mostly Cloudy,71,Mostly Cloudy,68,Mostly Cloudy,75,Mostly Cloudy,75,Mostly Cloudy,69,Partly Cloudy
32044,69,Partly Cloudy,69,Mostly Cloudy,77,Partly Cloudy,76,Mostly Cloudy,70,Mostly Cloudy,66,Mostly Cloudy,75,Mostly Cloudy,76,Mostly Cloudy,69,Partly Cloudy
32046,65,Overcast,66,Partly Cloudy,75,Mostly Cloudy,74,Mostly Cloudy,67,Partly Cloudy,62,Partly Cloudy,73,Partly Cloudy,74,Partly Cloudy,66,Partly Cloudy
32050,68,Overcast,70,Mostly Cloudy,76,Mostly Cloudy,76,Mostly Cloudy,70,Mostly Cloudy,67,Mostly Cloudy,75,Mostly Cloudy,75,Mostly Cloudy,68,Partly Cloudy
32052,68,Overcast,65,Mostly Cloudy,76,Partly Cloudy,77,Partly Cloudy,71,Partly Cloudy,61,Partly Cloudy,73,Mostly Cloudy,76,Partly Cloudy,69,Partly Cloudy
32053,70,Mostly Cloudy,66,Mostly Cloudy,75,Partly Cloudy,78,Mostly Cloudy,71,Partly Cloudy,61,Partly Cloudy,73,Mostly Cloudy,76,Partly Cloudy,69,Partly Cloudy
32054,68,Overcast,68,Mostly Cloudy,77,Mostly Cloudy,76,Mostly Cloudy,70,Mostly Cloudy,65,Partly Cloudy,75,Mostly Cloudy,76,Mostly Cloudy,69,Partly Cloudy
32055,67,Mostly Cloudy,66,Partly Cloudy,77,Partly Cloudy,78,Mostly Cloudy,70,Mostly Cloudy,63,Partly Cloudy,74,Partly Cloudy,77,Partly Cloudy,70,Partly Cloudy
